Enterprise_Value_over_EBITDA,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,assetTurnover,Debt_to_Equity,Debt_to_Equity_squared,Capex_to_Revenue,R_and_D_to_Revenue,Dividend_Yield,currentRatio,currentRatio_squared,returnOnEquityXpositiveROE,Sector_Communication_Services,Sector_Consumer_Cyclical,Sector_Consumer_Defensive,Sector_Energy,Sector_Financial_Services,Sector_Healthcare,Sector_Industrials,Sector_Real_Estate,Sector_Technology,Sector_Utilities,residuals
19.8072,0.053,-0.003,0.162083267,-0.0102,0.990445698,1.2611,1.5903732100000003,0.0105,0.0,0.0305,1.028,1.056784,-0.0,False,False,False,False,False,True,False,False,False,False,42.46785152174946
6.8421,0.1994,-0.051,0.524280854,-0.0293,0.301684319,0.6929,0.48011040999999993,0.3243,0.056,0.0247,2.024,4.096576,-0.0,False,False,False,True,False,False,False,False,False,False,9.091624421744758
5.3767,0.4264,0.218,0.419879582,0.1937,0.43175081,0.4837,0.23396569000000003,0.2599,0.0058,0.0505,1.34,1.7956000000000003,0.1937,False,False,False,True,False,False,False,False,False,False,4.852391097713153
3.1228,0.1503,0.017,0.247854958,0.0404,0.830833127,0.3208,0.10291263999999999,0.0298,0.0023,0.0,1.483,2.1992890000000003,0.0404,False,False,False,False,False,False,False,False,False,False,53.675644294070274
3.1031,0.3367,0.18,0.531234215,0.1435,0.38705683,0.5637,0.31775769,0.3325,0.0,0.0104,1.327,1.760929,0.1435,False,False,False,True,False,False,False,False,False,False,26.9375711390516
6.9167,0.0791,-0.003,0.35064901,-0.0086,1.427703224,0.0459,0.00210681,0.0358,0.0,0.0597,2.37,5.6169,-0.0,False,True,False,False,False,False,False,False,False,False,3.040352793907656
25.9138,0.3093,0.043,0.402474161,0.2313,1.431846687,0.7611,0.57927321,0.0486,0.1238,0.0,1.098,1.2056040000000001,0.2313,False,False,False,False,False,False,False,False,True,False,154.74749359341766
13.2519,0.3508,0.077,0.368917133,0.2312,0.608073372,1.9776,3.9109017600000002,0.0135,0.0774,0.0,1.494,2.232036,0.2312,True,False,False,False,False,False,False,False,False,False,4.54486380588348
10.582,0.1549,0.155,0.464258235,0.2379,0.668997916,0.9277,0.8606272899999999,0.071,0.0764,0.01,3.817,14.569489,0.2379,False,False,False,False,False,False,False,False,True,False,2.8456735052830084
10.5371,0.0738,0.27,0.389632653,0.263,0.333523918,1.1731,1.37616361,0.1164,0.0,0.0142,1.339,1.792921,0.263,False,False,False,False,False,False,True,False,False,False,0.5913874849171983
10.9853,0.2425,0.015,0.14007918,0.0824,1.945438659,0.6124,0.37503376000000005,0.0112,0.0,0.0,1.002,1.004004,0.0824,False,False,False,False,False,True,False,False,False,False,5.748420670842976
5.157,0.0788,0.102,0.312583055,0.1846,1.434672969,0.0,0.0,0.141,0.0,0.0476,4.321,18.671041,0.1846,False,False,False,True,False,False,False,False,False,False,2.143303477335153
14.5863,0.643,0.006,0.21771771,0.0085,0.60512351,0.99,0.9801,0.0124,0.0,0.0,0.993,0.986049,0.0085,False,False,False,False,False,True,False,False,False,False,16.093560619220018
8.2884,0.0514,0.081,0.390437473,0.57,0.937705951,4.1025,16.83050625,0.0127,0.0,0.0479,1.733,3.0032890000000005,0.57,False,True,False,False,False,False,False,False,False,False,0.5544654439980788
15.993,0.0713,0.294,0.698552269,0.4218,0.426725118,0.0,0.0,0.0456,0.0,0.0314,1.113,1.238769,0.4218,False,False,False,False,False,False,True,False,False,False,12.184437739738122
4.3316,-0.0784,0.044,0.378892813,0.1539,2.098536693,0.1045,0.01092025,0.0213,0.0,0.0354,1.927,3.7133290000000003,0.1539,False,True,False,False,False,False,False,False,False,False,5.147132948284967
14.4369,0.035,0.163,0.490859148,0.546,0.897671233,1.4927,2.22815329,0.0401,0.0556,0.0286,1.892,3.5796639999999997,0.546,False,False,False,False,False,False,True,False,False,False,12.869414448792496
4.8189,0.1591,0.004,0.07724643,0.0443,1.834308029,1.2915,1.6679722500000003,0.0311,0.0017,0.0108,1.044,1.089936,0.0443,False,False,False,False,False,False,False,False,True,False,7.659493032509221
16.5203,0.1331,0.099,0.304771693,0.3917,1.676649141,0.0024,5.759999999999999e-06,0.0151,0.0,0.0157,1.338,1.7902440000000002,0.3917,False,False,False,False,False,False,False,False,True,False,60.13253510352152
11.072,0.0786,0.176,0.492024182,0.4245,0.608905841,2.1086,4.4461939600000004,0.0677,0.0,0.0576,1.763,3.1081689999999997,0.4245,False,True,False,False,False,False,False,False,False,False,7.61238120570546
7.0423,0.2987,0.059,0.088063427,0.1846,1.334914351,0.7673,0.58874929,0.048,0.0,0.0599,1.022,1.044484,0.1846,False,False,False,True,False,False,False,False,False,False,7.979447984576818
5.8008,0.2453,0.027,0.047798484,0.1441,2.333426378,0.4204,0.17673616,0.0177,0.0,0.0427,1.648,2.7159039999999997,0.1441,False,False,False,True,False,False,False,False,False,False,8.088097889260295
11.5773,-0.0167,0.061,0.555364435,0.0446,0.428572573,0.0737,0.00543169,0.1519,0.0367,0.0,2.231638418,4.980210028693543,0.0446,False,True,False,False,False,False,False,False,False,False,0.8138841964432764
11.1432,0.1324,-0.096,0.613012142,-0.0519,0.266737691,0.7129,0.50822641,0.534,0.0012,0.0,0.945,0.893025,-0.0,False,False,False,True,False,False,False,False,False,False,4.198948802537768
6.6962,0.0813,0.046,0.18674183,0.1152,0.749692398,1.1358,1.2900416399999999,0.0548,0.0073,0.0142,1.87,3.4969000000000006,0.1152,False,False,False,False,False,False,True,False,False,False,16.1359601252737
8.3085,0.1403,0.091,0.228398058,0.1625,1.138395704,0.3566,0.12716355999999998,0.0086,0.0,0.0118,4.172080166,17.406252911530586,0.1625,False,True,False,False,False,False,False,False,False,False,1.3514955975948786
4.5525,0.0005,0.098,0.270378731,0.0013,0.75188922,0.4026,0.16208676000000002,0.054,0.0,0.0159,1.848,3.4151040000000004,0.0013,False,False,False,False,False,False,False,False,False,False,20.4636302584604
18.0542,0.1863,0.062,0.659824397,0.0134,0.107412271,0.7149,0.51108201,0.5991,0.0,0.0287,3.484143036,12.139252695307297,0.0134,False,False,False,False,False,False,False,True,False,False,14.467694097620768
9.6064,0.0737,0.064,0.14187186,0.2586,0.62190867,1.5603,2.43453609,0.0182,0.0,0.0407,1.007,1.0140489999999998,0.2586,False,True,False,False,False,False,False,False,False,False,1.926245839638732
11.1184,0.2562,0.063,0.315503899,0.2098,0.532859303,3.7434,14.013043559999998,0.0393,0.0444,0.0198,0.837762856,0.7018466028932767,0.2098,False,False,False,False,False,False,True,False,False,False,8.24010286691917
9.0872,0.2403,0.255,0.646634049,0.2668,0.521132916,0.5872,0.3448038400000001,0.4088,0.052,0.0112,1.896,3.594816,0.2668,False,False,False,True,False,False,False,False,False,False,0.3983954062044479
8.2715,0.0057,0.11,0.464072571,0.5196,0.645077888,2.7276,7.439801759999999,0.0467,0.0676,0.0546,1.286,1.653796,0.5196,False,False,False,False,False,False,False,False,True,False,1.3780730169246598
13.2785,0.0002,0.072,0.591766724,0.1208,0.845335911,0.2437,0.05938969,0.0443,0.0,0.0072,1.328,1.7635840000000003,0.1208,False,True,False,False,False,False,False,False,False,False,5.9007196147425
4.9977,0.1081,0.047,0.161817423,0.1158,0.772011915,1.1406,1.3009683600000002,0.055,0.0,0.0398,1.527,2.3317289999999997,0.1158,False,False,False,False,False,False,False,False,False,False,7.893538020043738
10.291,0.0247,0.092,0.327649573,0.1022,0.479537676,0.5164,0.26666895999999995,0.0255,0.0,0.0296,1.051,1.104601,0.1022,False,False,False,False,False,False,False,False,False,False,1.126692845894747
11.134,0.2494,0.114,0.140605241,0.1749,0.641290649,1.0975,1.20450625,0.1156,0.0,0.0697,0.846,0.7157159999999999,0.1749,False,False,False,True,False,False,False,False,False,False,42.9514107808094
9.4127,0.2037,0.112,0.310715983,0.4366,0.697015629,2.5961,6.739735209999999,0.0362,0.0338,0.0258,1.368,1.8714240000000002,0.4366,False,False,False,False,False,False,True,False,False,False,4.7692361793591065
9.3551,-0.0398,0.031,0.349976823,0.029,0.349287763,1.1394,1.2982323599999999,0.022,0.0616,0.0,1.388,1.9265439999999998,0.029,False,False,False,False,False,True,False,False,False,False,52.519821499601356
8.9774,0.208,0.03,0.133979783,0.0927,1.395222011,0.7757,0.6017104899999999,0.0359,0.0,0.0222,3.833,14.691889000000002,0.0927,False,False,False,False,False,False,False,False,False,False,1.4605243614899963
7.4006,-0.0035,-0.009,0.36238639,-0.0853,1.522711143,3.06,9.3636,0.0307,0.0,0.0,1.457,2.1228490000000004,-0.0,False,True,False,False,False,False,False,False,False,False,22.77187214225679
7.265,0.0348,0.04,0.296902935,0.2501,1.804183311,1.1434,1.30736356,0.0344,0.0,0.0345,0.961,0.9235209999999999,0.2501,False,False,True,False,False,False,False,False,False,False,7.911054782178942
9.3147,0.1161,0.094,0.395128432,0.0773,0.410470823,0.4349,0.18913801,0.2046,0.088,0.0238,2.124,4.511376,0.0773,False,False,False,False,False,False,False,False,True,False,10.749787388605421
11.7616,0.0251,0.082,0.366063044,0.206,0.835800789,1.1428,1.3059918400000001,0.0236,0.0,0.0268,1.37,1.8769000000000002,0.206,False,False,False,False,False,False,True,False,False,False,2.8422160362353184
16.7392,0.0413,0.106,0.209039987,0.1807,1.172360313,0.1116,0.012454560000000002,0.0398,0.0,0.0176,1.8,3.24,0.1807,False,False,True,False,False,False,False,False,False,False,16.07938581274739
4.5597,-0.0282,0.228,0.469388385,0.2804,0.379199382,1.5515,2.40715225,0.3362,0.0,0.0,1.32,1.7424000000000002,0.2804,True,False,False,False,False,False,False,False,False,False,2.560459245659469
8.5153,0.0383,0.106,0.300786838,0.7099,1.188522848,2.8943,8.37697249,0.0327,0.0917,0.0446,1.351,1.8252009999999999,0.7099,False,False,False,False,False,False,False,False,True,False,0.0807719463761801
11.6519,0.0675,0.108,0.276627984,0.2536,0.82822161,0.497,0.247009,0.0303,0.0,0.0278,1.434,2.0563559999999996,0.2536,False,False,False,False,False,False,True,False,False,False,1.5306718038800184
4.0776,-0.0374,0.063,0.39127471,0.2726,1.273502528,1.024,1.048576,0.014,0.0,0.0643,1.476,2.178576,0.2726,False,True,False,False,False,False,False,False,False,False,6.003613342218317
13.4254,0.067,0.143,0.375006039,0.1676,0.672541404,0.4165,0.17347225,0.0254,0.1465,0.0346,1.638,2.6830439999999998,0.1676,False,False,False,False,False,False,False,False,True,False,0.0013150458133927069
6.5286,0.1715,-0.013,0.759927798,-0.007,0.237315564,0.6974,0.48636676,0.6576,0.0259,0.0229,1.014,1.028196,-0.0,False,False,False,True,False,False,False,False,False,False,0.813687714180158
12.1765,0.0616,0.049,0.233481419,0.5363,1.710078054,3.2331,10.452935609999999,0.0127,0.0,0.0185,1.45,2.1025,0.5363,False,False,False,False,False,False,True,False,False,False,15.380590814585661
14.7102,0.3101,0.068,0.654506803,0.1225,0.880463591,0.4933,0.24334489,0.0455,0.0,0.0292,2.593,6.723649,0.1225,False,True,False,False,False,False,False,False,False,False,7.622339244545741
10.969,0.1114,0.079,0.248357168,0.137,0.495495898,1.1844,1.4028033599999998,0.0286,0.037,0.0266,1.132,1.2814239999999997,0.137,False,False,False,False,False,False,True,False,False,False,0.826930143208087
10.3687,0.2198,0.04,0.385196815,0.1004,1.04241683,0.9013,0.81234169,0.0187,0.0,0.0,2.675,7.155624999999999,0.1004,False,True,False,False,False,False,False,False,False,False,0.41065121854972814
5.97,0.5091,0.21,0.796842228,0.1608,0.307857388,0.9387,0.88115769,0.6189,0.0016,0.0,1.018,1.036324,0.1608,False,False,False,True,False,False,False,False,False,False,9.664474926021583
11.117,-0.0184,-0.048,0.13947071,-0.0157,0.209744359,0.3229,0.10426441000000002,0.2372,0.0811,0.0038,1.205,1.4520250000000001,-0.0,False,False,False,False,False,False,False,False,False,False,0.474517573018518
15.9308,0.13,0.098,0.528008468,0.162,1.325595965,0.0,0.0,0.0596,0.0,0.0,4.909,24.098280999999997,0.162,False,True,False,False,False,False,False,False,False,False,33.21803540890961
13.1477,0.0142,0.102,0.296222113,0.2199,0.764069493,1.038,1.077444,0.0307,0.0,0.0228,0.83,0.6889,0.2199,False,False,True,False,False,False,False,False,False,False,0.4706963728598418
3.9762,0.2393,0.106,0.196484997,0.3198,1.534593668,0.604,0.364816,0.0202,0.0,0.025,3.957,15.657848999999999,0.3198,False,False,False,False,False,False,False,False,False,False,12.577211853272795
21.4473,0.2449,0.103,0.659413609,0.0558,0.165411011,1.3862,1.9215504400000003,0.321,0.0,0.0394,0.867,0.7516889999999999,0.0558,False,False,False,False,False,False,False,True,False,False,41.83013728276055
12.4717,0.1721,0.04,0.63807877,0.0686,0.282576358,3.885,15.093224999999999,0.3035,0.0,0.0,1.034,1.069156,0.0686,False,False,False,False,False,False,False,False,True,False,0.020113936717063224
14.7238,0.1405,0.127,0.426930147,0.2462,0.853751839,0.532,0.28302400000000005,0.0354,0.0,0.025,1.074,1.1534760000000002,0.2462,False,False,False,False,False,False,True,False,False,False,11.908160494570797
9.0381,0.1014,0.031,0.195863632,0.0457,0.3920545,1.2118,1.46845924,0.1559,0.0,0.0394,2.127,4.524128999999999,0.0457,False,False,False,False,False,False,False,False,False,True,8.011736385167982
31.3308,0.1634,0.019,0.909396785,0.0085,0.296528112,0.3499,0.12243000999999999,0.0516,0.1768,0.0,2.883,8.311689,0.0085,False,False,False,False,False,True,False,False,False,False,70.50929738343787
21.7341,0.2284,-0.018,0.616109811,-0.0191,0.415285769,0.8502,0.7228400399999999,0.0475,0.0,0.036,0.903,0.815409,-0.0,False,False,True,False,False,False,False,False,False,False,29.9951986730584
9.4501,0.0914,0.191,0.341946068,0.8226,0.530544525,3.6274,13.15803076,0.0737,0.0,0.003,1.306,1.7056360000000002,0.8226,False,False,False,False,False,False,False,False,False,False,0.05912073364176265
21.4417,0.0772,0.141,0.413934887,0.398,0.343063288,0.4228,0.17875984,0.0353,0.0,0.0187,1.046,1.094116,0.398,False,False,False,False,False,False,True,False,False,False,92.01391251358251
19.4473,0.13,0.261,0.602906401,0.275,0.841014948,0.0,0.0,0.0186,0.0,0.0,3.001,9.006001,0.275,False,False,True,False,False,False,False,False,False,False,14.414479130126832
5.2017,0.2282,0.194,0.449879719,0.1776,0.257330169,2.1474,4.611326760000001,0.0645,0.0,0.0,5.82,33.872400000000006,0.1776,False,True,False,False,False,False,False,False,False,False,31.34512407781379
12.1459,-0.1179,-0.077,0.090239078,-0.0568,0.365491387,0.5382,0.28965924000000004,0.2249,0.0406,0.0,1.845,3.404025,-0.0,False,False,False,False,False,False,False,False,False,False,0.5828997670872726
12.1522,-0.0048,0.182,0.385491566,0.1696,0.480818498,0.6123,0.37491128999999995,0.0419,0.0,0.0271,1.504,2.262016,0.1696,False,False,True,False,False,False,False,False,False,False,1.798076926710252
10.2414,0.0591,0.099,0.328474247,0.1332,0.69500193,0.4669,0.21799560999999998,0.0261,0.027,0.0385,1.473,2.1697290000000002,0.1332,False,False,False,False,False,False,True,False,False,False,1.2664795426738187
5.3407,0.0901,0.087,0.431584253,0.224,0.523105104,1.8217,3.3185908900000003,0.0524,0.0,0.0775,1.263,1.5951689999999998,0.224,False,True,False,False,False,False,False,False,False,False,7.756483532222952
7.9832,0.7259,0.104,0.461603824,0.0808,0.525889516,0.1886,0.03556996,0.4018,0.0121,0.0024,1.419,2.013561,0.0808,False,False,False,True,False,False,False,False,False,False,9.16175330988225
