Company_symbol,Sector,Enterprise_Value_over_EBITDA,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,fixedAssetTurnover,assetTurnover,Debt_to_Equity,Capex_to_Revenue,R&D_to_Revenue,Dividend_Yield,currentRatio
CE,Basic Materials,7.6509,0.1653,0.169,0.275611461,0.4045,1.923904275,0.768280898,1.1833,0.0471,0.0101,0.0231,1.616
HUN,Basic Materials,7.3984,0.1222,0.036,0.215907879,0.1337,3.985975351,1.179303408,0.9206,0.0334,0.0162,0.0337,1.836
VER,Real Estate,15.1369,0.0045,-0.14,0.899463934,-0.0126,0.103374431,0.090082546,0.8506,0.0184,0.0,0.0769,1.124186567
GPK,Consumer Cyclical,7.4556,0.3677,0.037,0.157064586,0.14,1.859122758,0.853212829,1.8722,0.0656,0.0,0.0282,1.505
KSS,Consumer Cyclical,5.5994,0.0205,0.043,0.393746266,0.1585,2.583815773,1.500037344,0.833,0.0335,0.0,0.036,1.986
XEC,Energy,3.8721,0.2194,0.339,0.464894441,0.2378,0.588725794,0.385843713,0.456,0.4657,0.0,0.0094,2.009
ATI,Industrials,7.9386,0.1479,0.055,0.155760391,0.1179,1.634989899,0.735504744,0.8178,0.0344,0.0,0.0,2.685
VFC,Consumer Cyclical,17.565,0.0314,0.097,0.505335741,0.2174,12.03754941,1.193611601,0.4693,0.0044,0.0,0.0256,2.405
BDN,Real Estate,11.058,0.0458,0.25,0.599476435,0.0758,0.162832507,0.133516852,1.1274,0.1564,0.0,0.0559,1.535173423
HON,Industrials,11.5764,0.0313,0.162,0.305152863,0.3721,7.893126888,0.723555986,0.8919,0.0194,0.0,0.0715,1.287
GOOGL,Technology,14.1441,0.2342,0.225,0.564760742,0.173,2.291046401,0.587730678,0.0226,0.183,0.1565,0.0,3.919
ICE,Financial Services,14.6099,0.0741,0.317,0.793339707,0.1156,5.057211926,0.06763587,0.4326,0.0446,0.0,0.0127,1.009
WY,Basic Materials,13.4511,0.0389,0.1,0.242108079,0.0827,0.499799438,0.43341643,0.7347,0.0571,0.0011,0.0604,0.826
BLL,Consumer Cyclical,13.1491,0.0594,0.039,0.198195101,0.1313,2.561646852,0.702851275,1.9459,0.0701,0.0,0.0087,0.962
AMGN,Healthcare,9.9878,0.0393,0.353,0.827304502,0.6715,4.789632916,0.357549386,2.7143,0.0311,0.1574,0.0271,2.789
IVZ,Financial Services,9.1182,0.0298,0.166,1.0,0.1029,11.33795605,0.171542107,0.89,0.0193,0.0,0.0711,1.44
DG,Consumer Defensive,12.3489,0.0675,0.066,0.307671985,0.2512,8.688825158,1.87514052,0.4907,0.0275,0.0,0.0105,1.433
SLM,Financial Services,9.1122,0.1869,0.423,1.0,0.164,10.58068888,0.041906215,1.4412,0.0,0.0,0.0,1.385824682
SGU,Energy,5.8198,0.2677,0.033,0.276154358,0.1792,19.14945559,2.29849816,0.3253,0.0078,0.0,0.0464,0.907
ODP,Consumer Cyclical,4.8167,0.0757,0.009,0.231593282,0.0489,14.43643512,1.786409342,0.7239,0.017,0.0,0.0388,1.228
PK,Real Estate,8.6213,-0.0193,0.172,0.426379247,0.0838,0.343197492,0.292320837,0.5234,0.0687,0.0,0.1055,1.450549451
TOL,Consumer Cyclical,7.7945,0.2284,0.105,0.205823589,0.1572,36.95789033,0.697271243,0.7769,0.004,0.0,0.0122,4.094020797
PDCO,Healthcare,10.1824,-0.0228,0.037,0.219435705,0.1375,18.80891634,1.574369812,0.6941,0.0079,0.0,0.0447,1.952
CME,Financial Services,21.0734,0.1824,0.455,1.0,0.0757,9.604189882,0.055622602,1.6921,0.0271,0.0,0.0242,1.015
ETFC,Financial Services,4.8339,0.2143,0.354,1.0,0.1603,10.22419929,0.04419796,0.2147,0.039,0.0,0.0032,1.428287393
EXC,Utilities,8.0518,0.0721,0.056,0.227733778,0.0653,0.469122766,0.300711982,1.1874,0.211,0.0,0.0306,1.172
UNP,Industrials,11.3779,0.075,0.261,0.735196216,0.2921,0.433417491,0.386021269,1.0964,0.1505,0.0,0.0221,0.9
BDX,Healthcare,23.5884,0.3217,0.01,0.454357755,0.0148,2.973581395,0.296508608,1.0239,0.056,0.0629,0.0113,1.027
