row_id,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,assetTurnover,Debt_to_Equity,Debt_to_Equity_squared,Capex_to_Revenue,R_and_D_to_Revenue,Dividend_Yield,currentRatio,currentRatio_squared,returnOnEquityXpositiveROE,Sector_Communication_Services,Sector_Consumer_Cyclical,Sector_Consumer_Defensive,Sector_Energy,Sector_Financial_Services,Sector_Healthcare,Sector_Industrials,Sector_Real_Estate,Sector_Technology,Sector_Utilities,Enterprise_Value_over_EBITDA,split,Sector_label
689,0.2049,0.118,0.358316234,0.3133,0.833966255,1.3406,1.79720836,0.0234,0.0247,0.0,1.999,3.9960010000000006,0.3133,False,False,False,False,False,False,False,False,True,False,9.7849,train,Technology
716,0.2973,0.25,0.452915838,0.1765,0.567697918,0.0117,0.00013689,0.009,0.0878,0.0,5.62,31.5844,0.1765,False,False,False,False,False,False,False,False,True,False,4.1836,train,Technology
91,-0.0398,0.031,0.349976823,0.029,0.349287763,1.1394,1.29823236,0.022,0.0616,0.0,1.388,1.926544,0.029,False,False,False,False,False,True,False,False,False,False,9.3551,train,Healthcare
22,0.2057,0.139,0.45546349,0.2273,0.666206659,0.9814,0.96314596,-0.0914,0.0,0.0,1.13,1.2768999999999997,0.2273,False,False,False,True,False,False,False,False,False,False,2.9687,train,Energy
402,0.0499,0.095,0.403630336,0.2036,1.231296842,0.2078,0.04318084,0.0118,0.0,0.0034,1.774,3.147076,0.2036,False,False,False,False,False,False,False,False,True,False,11.8009,train,Technology
329,0.0076,0.026,0.328980527,0.0992,1.643448795,0.3627,0.13155129,0.0262,0.0,0.0347,1.539,2.368521,0.0992,False,False,False,False,False,False,True,False,False,False,6.9959,train,Industrials
291,0.1455,0.05,0.229187246,0.2153,1.585822714,0.6275,0.3937562499999999,0.0107,0.0,0.0,1.164,1.354896,0.2153,False,False,False,False,False,False,False,True,False,False,8.1263,train,Real_Estate
441,0.0455,0.161,0.495427536,0.3272,0.747252401,1.1468,1.31515024,0.059,0.0,0.0172,1.134,1.285956,0.3272,False,False,True,False,False,False,False,False,False,False,4.7549,train,Consumer_Defensive
17,0.3813,0.167,0.784715892,0.0904,0.308709723,0.4534,0.20557156,0.4183,0.0439,0.0139,1.594,2.540836,0.0904,False,False,False,True,False,False,False,False,False,False,3.8978,train,Energy
164,0.0458,0.038,0.140403886,0.1868,1.556191473,1.0122,1.02454884,0.0204,0.0,0.0,1.69,2.8561,0.1868,False,False,False,False,False,False,True,False,False,False,6.9123,train,Industrials
